name,price,description,imageUrl,category
Baggy Blue Jeans,1872,Comfortable slim fit jeans in blue color.,/assets/jean1.jpg,Jeans
Baggy Blue Jeans 2,1472,Comfortable skinny jeans in blue color.,/assets/jean2.jpg,Jeans
Indigo Tapered Jeans 3,992,Comfortable tapered jeans in indigo color.,/assets/jean3.jpg,Jeans
Indigo Skinny Jeans 4,2233,Comfortable skinny jeans in indigo color.,/assets/jean4.jpg,Jeans
Dark Blue Tapered Jeans 5,2223,Comfortable tapered jeans in dark blue color.,/assets/jean5.jpg,Jeans
Dark Blue Tapered Jeans 6,1225,Comfortable tapered jeans in dark blue color.,/assets/jean6.jpg,Jeans
Blue Slim Fit Jeans 7,1404,Comfortable slim fit jeans in blue color.,/assets/jean7.jpg,Jeans
Indigo Relaxed Jeans 8,1806,Comfortable relaxed jeans in indigo color.,/assets/jean8.jpg,Jeans
Dark Blue Straight Fit Jeans 9,2077,Comfortable straight fit jeans in dark blue color.,/assets/jean9.jpg,Jeans
Blue Baggy Jeans 10,1104,Comfortable regular fit jeans in blue color.,/assets/jean10.jpg,Jeans
Dark Blue Regular Fit Jeans 11,990,Comfortable regular fit jeans in dark blue color.,/assets/jean11.jpg,Jeans
Denim Relaxed Jeans 12,1123,Comfortable relaxed jeans in denim color.,/assets/jean12.jpg,Jeans
Light Blue Relaxed Jeans 13,2355,Comfortable relaxed jeans in light blue color.,/assets/jean13.jpg,Jeans
Blue Straight Fit Jeans 14,2037,Comfortable straight fit jeans in blue color.,/assets/jean14.jpg,Jeans
Dark Blue Tapered Jeans 15,929,Comfortable tapered jeans in dark blue color.,/assets/jean15.jpg,Jeans
Blue Relaxed Jeans 16,1453,Comfortable relaxed jeans in blue color.,/assets/jean16.jpg,Jeans
Indigo Straight Fit Jeans 17,1030,Comfortable straight fit jeans in indigo color.,/assets/jean17.jpg,Jeans
Dark Blue Relaxed Jeans 18,2296,Comfortable relaxed jeans in dark blue color.,/assets/jean18.jpg,Jeans
